trial,candidate_id,model,fraction,seed,checkpoint_selection,learning_rate,weight_decay,structure_dropout,epochs_completed,stop_reason,elapsed_seconds,selected_epoch,val_loss_global_sign,val_loss_magnitude,val_loss_position,val_loss_relative_sign,val_loss_structure,val_loss_total,val_absolute_sign_accuracy,val_absolute_sign_set_accuracy,val_charge_mae,val_charge_magnitude_mae,val_global_invariant_charge_mae,val_global_sign_accuracy,val_global_sign_bce,val_mean_position_3d_error,val_mean_position_mae,val_observations_per_sample,val_observed_sample_fraction,val_pairwise_relative_sign_accuracy,val_position_mae_x,val_position_mae_y,val_position_mae_z,val_relative_configuration_accuracy,val_relative_sign_accuracy
dropout020__g05_full_reconstruction__g0.1__s43,dropout020,g05_full_reconstruction,0.1,43,structure,0.001,0.0001,0.2,61,early_stopping,54.52776659978554,41,0.3718574893474579,0.07160450059175491,0.436766214132309,0.05947534155845642,0.5678460512161255,0.9397035405635834,0.8527999954223633,0.817,0.31594645309448244,0.15194943237304687,0.18282608985900878,0.836,0.3718574867248535,0.7290708770751954,0.3578106346130371,3.0,1.0,0.9556000061035156,0.42118167114257815,0.4355822334289551,0.21666796493530274,0.921,0.9623999938964843
dropout020__g05_full_reconstruction__g0.1__s43,dropout020,g05_full_reconstruction,0.1,43,total,0.001,0.0001,0.2,61,early_stopping,54.52776659978554,41,0.3718574893474579,0.07160450059175491,0.436766214132309,0.05947534155845642,0.5678460512161255,0.9397035405635834,0.8527999954223633,0.817,0.31594645309448244,0.15194943237304687,0.18282608985900878,0.836,0.3718574867248535,0.7290708770751954,0.3578106346130371,3.0,1.0,0.9556000061035156,0.42118167114257815,0.4355822334289551,0.21666796493530274,0.921,0.9623999938964843
dropout020__g05_full_reconstruction__g0.25__s43,dropout020,g05_full_reconstruction,0.25,43,structure,0.001,0.0001,0.2,67,early_stopping,60.78518389957026,43,0.3598196530342102,0.07211170196533204,0.4308735492229462,0.06168206244707108,0.5646673245429993,0.9244869775772095,0.872999984741211,0.84,0.2911228256225586,0.1525107536315918,0.17994640922546387,0.857,0.359819652557373,0.7276475372314453,0.3572947883605957,8.0,1.0,0.9603999938964843,0.4197592086791992,0.4384034652709961,0.2137216510772705,0.93,0.9672000198364258
dropout020__g05_full_reconstruction__g0.25__s43,dropout020,g05_full_reconstruction,0.25,43,total,0.001,0.0001,0.2,67,early_stopping,60.78518389957026,47,0.35054063153266907,0.07234926509857177,0.43110827493667603,0.06398673158884048,0.5674442658424378,0.9179848973751068,0.8717999877929687,0.834,0.29270177459716795,0.15291672706604004,0.18303045845031737,0.853,0.3505406303405762,0.7302714157104492,0.3580564765930176,8.0,1.0,0.9558000030517578,0.42254005432128905,0.43742267990112305,0.2142066764831543,0.921,0.9619999923706055
dropout020__g05_full_reconstruction__g0.5__s43,dropout020,g05_full_reconstruction,0.5,43,structure,0.001,0.0001,0.2,69,early_stopping,61.08168409997597,43,0.3589311580657959,0.07339000648260116,0.4345515716075897,0.058405939429998395,0.5663475217819214,0.9252786798477173,0.8655999984741211,0.825,0.3008297348022461,0.15464539527893068,0.1865392017364502,0.848,0.3589311561584473,0.7307626419067382,0.35719265365600583,16.0,1.0,0.9552000122070312,0.41553979873657226,0.4449107551574707,0.21112738800048828,0.921,0.9631999893188476
dropout020__g05_full_reconstruction__g0.5__s43,dropout020,g05_full_reconstruction,0.5,43,total,0.001,0.0001,0.2,69,early_stopping,61.08168409997597,49,0.3500006339550018,0.07368325001001358,0.43473334431648253,0.05949496486783028,0.5679115614891053,0.9179121954441071,0.866,0.823,0.30223401641845704,0.15471655464172362,0.1919845504760742,0.856,0.3500006332397461,0.730600830078125,0.3582044448852539,16.0,1.0,0.9494000091552734,0.4222467498779297,0.4389285545349121,0.2134379825592041,0.912,0.9603999862670899
dropout020__g05_full_reconstruction__g0.75__s43,dropout020,g05_full_reconstruction,0.75,43,structure,0.001,0.0001,0.2,65,early_stopping,58.753755500074476,43,0.35164959979057314,0.07210873395204544,0.43218078088760375,0.05935712417960167,0.563646632194519,0.9152962319850921,0.8695999984741211,0.83,0.296174144744873,0.1525422306060791,0.18431134605407715,0.854,0.35164959716796873,0.726264877319336,0.35552023315429687,24.0,1.0,0.954999984741211,0.4134399299621582,0.43989469528198244,0.2132260627746582,0.92,0.961999984741211
dropout020__g05_full_reconstruction__g0.75__s43,dropout020,g05_full_reconstruction,0.75,43,total,0.001,0.0001,0.2,65,early_stopping,58.753755500074476,45,0.34440146350860595,0.07246962255239486,0.43129555487632754,0.06328937739133834,0.567054533481598,0.9114559969902039,0.8687999954223633,0.828,0.29664065170288084,0.15260706901550292,0.18555957794189454,0.856,0.34440146255493165,0.721676742553711,0.35370989990234375,24.0,1.0,0.9524000015258789,0.41336420440673827,0.43475271224975587,0.2130127410888672,0.915,0.9591999969482422
dropout020__g05_full_reconstruction__g0__s43,dropout020,g05_full_reconstruction,0.0,43,structure,0.001,0.0001,0.2,61,early_stopping,37.717703899834305,41,,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.5867026119232178,,,0.19148273849487304,0.1560664348602295,0.19148273849487304,,,0.7416982192993165,0.36329375457763674,0.0,0.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
dropout020__g05_full_reconstruction__g0__s43,dropout020,g05_full_reconstruction,0.0,43,total,0.001,0.0001,0.2,61,early_stopping,37.717703899834305,41,,0.07426174825429917,0.4482724978923798,0.06416838043928147,0.5867026119232178,0.5867026119232178,,,0.19148273849487304,0.1560664348602295,0.19148273849487304,,,0.7416982192993165,0.36329375457763674,0.0,0.0,0.9499999923706055,0.42525286483764646,0.44871265029907226,0.21591570091247558,0.911,0.9575999755859375
