trial,candidate_id,model,fraction,seed,checkpoint_selection,learning_rate,weight_decay,structure_dropout,epochs_completed,stop_reason,elapsed_seconds,selected_epoch,val_loss_global_sign,val_loss_magnitude,val_loss_position,val_loss_relative_sign,val_loss_structure,val_loss_total,val_absolute_sign_accuracy,val_absolute_sign_set_accuracy,val_charge_mae,val_charge_magnitude_mae,val_global_invariant_charge_mae,val_global_sign_accuracy,val_global_sign_bce,val_mean_position_3d_error,val_mean_position_mae,val_observations_per_sample,val_observed_sample_fraction,val_pairwise_relative_sign_accuracy,val_position_mae_x,val_position_mae_y,val_position_mae_z,val_relative_configuration_accuracy,val_relative_sign_accuracy
dropout020__g05_full_reconstruction__g0.1__s42,dropout020,g05_full_reconstruction,0.1,42,structure,0.001,0.0001,0.2,64,early_stopping,45.97079349961132,44,0.37458578300476075,0.07408800977468491,0.44383507704734804,0.06349903693795204,0.5814221291542053,0.9560079121589661,0.8538000106811523,0.813,0.3152540740966797,0.15426005935668946,0.18948033714294435,0.839,0.3745857810974121,0.736289176940918,0.3612736434936523,3.0,1.0,0.9506000061035156,0.44986661911010745,0.4159385757446289,0.21801566886901855,0.914,0.9612000045776368
dropout020__g05_full_reconstruction__g0.1__s42,dropout020,g05_full_reconstruction,0.1,42,total,0.001,0.0001,0.2,64,early_stopping,45.97079349961132,44,0.37458578300476075,0.07408800977468491,0.44383507704734804,0.06349903693795204,0.5814221291542053,0.9560079121589661,0.8538000106811523,0.813,0.3152540740966797,0.15426005935668946,0.18948033714294435,0.839,0.3745857810974121,0.736289176940918,0.3612736434936523,3.0,1.0,0.9506000061035156,0.44986661911010745,0.4159385757446289,0.21801566886901855,0.914,0.9612000045776368
dropout020__g05_full_reconstruction__g0.25__s42,dropout020,g05_full_reconstruction,0.25,42,structure,0.001,0.0001,0.2,64,early_stopping,45.83812560001388,44,0.36137826323509215,0.07285145503282547,0.4383573565483093,0.06347269526124001,0.5746815013885498,0.9360597646236419,0.8671999893188477,0.83,0.2983734130859375,0.1532467041015625,0.18564705848693847,0.85,0.3613782615661621,0.731669075012207,0.3596956825256348,8.0,1.0,0.9538000030517578,0.4456391181945801,0.41521548461914065,0.21823241806030275,0.918,0.9611999969482422
dropout020__g05_full_reconstruction__g0.25__s42,dropout020,g05_full_reconstruction,0.25,42,total,0.001,0.0001,0.2,64,early_stopping,45.83812560001388,44,0.36137826323509215,0.07285145503282547,0.4383573565483093,0.06347269526124001,0.5746815013885498,0.9360597646236419,0.8671999893188477,0.83,0.2983734130859375,0.1532467041015625,0.18564705848693847,0.85,0.3613782615661621,0.731669075012207,0.3596956825256348,8.0,1.0,0.9538000030517578,0.4456391181945801,0.41521548461914065,0.21823241806030275,0.918,0.9611999969482422
dropout020__g05_full_reconstruction__g0.5__s42,dropout020,g05_full_reconstruction,0.5,42,structure,0.001,0.0001,0.2,77,early_stopping,55.838512799702585,43,0.3573866021633148,0.07292007941007614,0.439702255487442,0.06686855703592301,0.5794908967018128,0.9368774988651276,0.8688000106811523,0.828,0.2955380744934082,0.15386306381225587,0.18931832695007325,0.85,0.35738660049438475,0.7374527130126953,0.36161236953735354,16.0,1.0,0.9501999893188476,0.4492355537414551,0.41999543380737303,0.21560610961914062,0.912,0.9587999954223633
dropout020__g05_full_reconstruction__g0.5__s42,dropout020,g05_full_reconstruction,0.5,42,total,0.001,0.0001,0.2,77,early_stopping,55.838512799702585,57,0.34406413078308107,0.0735237820148468,0.4343517184257507,0.07388429206609726,0.5817597942352295,0.9258239250183106,0.8697999954223633,0.834,0.29477568435668944,0.15335195922851563,0.18314968299865722,0.853,0.3440641288757324,0.727442741394043,0.35620237731933596,16.0,1.0,0.9563999938964843,0.4395838737487793,0.41526174926757814,0.21376147270202636,0.922,0.9623999938964843
dropout020__g05_full_reconstruction__g0.75__s42,dropout020,g05_full_reconstruction,0.75,42,structure,0.001,0.0001,0.2,76,early_stopping,54.31304409960285,49,0.3602573232650757,0.0749055312871933,0.438525087594986,0.06114523541927338,0.5745758428573609,0.9348331661224365,0.8666000137329102,0.826,0.3011217308044434,0.1545994930267334,0.187917272567749,0.851,0.3602573204040527,0.7318288269042968,0.35947444915771487,24.0,1.0,0.9530000152587891,0.4445854415893555,0.4158094635009766,0.21802838325500487,0.918,0.9627999877929687
dropout020__g05_full_reconstruction__g0.75__s42,dropout020,g05_full_reconstruction,0.75,42,total,0.001,0.0001,0.2,76,early_stopping,54.31304409960285,56,0.3389305784702301,0.07399257653951645,0.43166244387626646,0.0693593925833702,0.5750144166946412,0.9139449951648713,0.8718000106811523,0.83,0.2947797737121582,0.15433963203430176,0.18894323539733887,0.857,0.3389305763244629,0.7263459854125977,0.356993766784668,24.0,1.0,0.9514000091552735,0.4397039031982422,0.416333740234375,0.2149436206817627,0.914,0.959599983215332
dropout020__g05_full_reconstruction__g0__s42,dropout020,g05_full_reconstruction,0.0,42,structure,0.001,0.0001,0.2,75,early_stopping,36.930226100143045,55,,0.07563333451747895,0.43463032817840574,0.06937953647971153,0.5796431913375855,0.5796431913375855,,,0.1912383861541748,0.15716864967346192,0.1912383861541748,,,0.7264714584350586,0.3566276626586914,0.0,0.0,0.951999984741211,0.44601437759399415,0.40965293502807615,0.21421563529968263,0.915,0.9599999771118164
dropout020__g05_full_reconstruction__g0__s42,dropout020,g05_full_reconstruction,0.0,42,total,0.001,0.0001,0.2,75,early_stopping,36.930226100143045,55,,0.07563333451747895,0.43463032817840574,0.06937953647971153,0.5796431913375855,0.5796431913375855,,,0.1912383861541748,0.15716864967346192,0.1912383861541748,,,0.7264714584350586,0.3566276626586914,0.0,0.0,0.951999984741211,0.44601437759399415,0.40965293502807615,0.21421563529968263,0.915,0.9599999771118164
