trial,candidate_id,model,fraction,seed,checkpoint_selection,learning_rate,weight_decay,structure_dropout,epochs_completed,stop_reason,elapsed_seconds,selected_epoch,val_loss_global_sign,val_loss_magnitude,val_loss_position,val_loss_relative_sign,val_loss_structure,val_loss_total,val_absolute_sign_accuracy,val_absolute_sign_set_accuracy,val_charge_mae,val_charge_magnitude_mae,val_global_invariant_charge_mae,val_global_sign_accuracy,val_global_sign_bce,val_mean_position_3d_error,val_mean_position_mae,val_observations_per_sample,val_observed_sample_fraction,val_pairwise_relative_sign_accuracy,val_position_mae_x,val_position_mae_y,val_position_mae_z,val_relative_configuration_accuracy,val_relative_sign_accuracy
baseline__g05_full_reconstruction__g1__s41,baseline,g05_full_reconstruction,1.0,41,structure,0.001,0.0001,0.0,55,early_stopping,40.786287700000685,35,0.3483570759296417,0.07351794737577438,0.4635216920375824,0.06387830966711044,0.6009179449081421,0.9492750208377838,0.8736000061035156,0.833,0.29332593154907227,0.1537076473236084,0.18759724044799805,0.856,0.34835707473754884,0.7548253479003906,0.3704276275634766,32.0,1.0,0.9520000152587891,0.45509666061401366,0.43370882415771483,0.22247735595703125,0.915,0.9600000076293945
baseline__g05_full_reconstruction__g1__s41,baseline,g05_full_reconstruction,1.0,41,total,0.001,0.0001,0.0,55,early_stopping,40.786287700000685,35,0.3483570759296417,0.07351794737577438,0.4635216920375824,0.06387830966711044,0.6009179449081421,0.9492750208377838,0.8736000061035156,0.833,0.29332593154907227,0.1537076473236084,0.18759724044799805,0.856,0.34835707473754884,0.7548253479003906,0.3704276275634766,32.0,1.0,0.9520000152587891,0.45509666061401366,0.43370882415771483,0.22247735595703125,0.915,0.9600000076293945
baseline__g05_full_reconstruction__g1__s42,baseline,g05_full_reconstruction,1.0,42,structure,0.001,0.0001,0.0,55,early_stopping,39.590395399951376,33,0.3471103839874268,0.07461936646699906,0.47133282899856566,0.06275699877738952,0.6087091903686523,0.9558195743560791,0.8737999801635742,0.831,0.29490615463256836,0.15526732063293458,0.19057730293273925,0.857,0.3471103820800781,0.762980224609375,0.37435241317749024,32.0,1.0,0.9499999923706055,0.4502324676513672,0.44561796951293947,0.2272067642211914,0.912,0.9591999893188476
baseline__g05_full_reconstruction__g1__s42,baseline,g05_full_reconstruction,1.0,42,total,0.001,0.0001,0.0,55,early_stopping,39.590395399951376,35,0.3423144094944,0.07456688964366913,0.47153129410743716,0.06672478348016739,0.612822968006134,0.9551373775005341,0.8763999938964844,0.837,0.2904986991882324,0.15542917060852052,0.18885976409912109,0.856,0.34231440734863283,0.767878890991211,0.37621129608154297,32.0,1.0,0.9526000061035156,0.45160297775268554,0.4528298568725586,0.2242010498046875,0.916,0.9604000091552735
baseline__g05_full_reconstruction__g1__s43,baseline,g05_full_reconstruction,1.0,43,structure,0.001,0.0001,0.0,46,early_stopping,33.32129569997778,26,0.3505796298980713,0.07336565500497819,0.46678959703445433,0.056472340106964114,0.5966275882720947,0.9472072181701661,0.8741999893188477,0.835,0.2910713596343994,0.15418047523498535,0.1867463550567627,0.851,0.3505796279907227,0.7631776580810546,0.3730879554748535,32.0,1.0,0.953599983215332,0.43873909378051756,0.46041915130615235,0.22010556411743165,0.918,0.9616000061035156
baseline__g05_full_reconstruction__g1__s43,baseline,g05_full_reconstruction,1.0,43,total,0.001,0.0001,0.0,46,early_stopping,33.32129569997778,26,0.3505796298980713,0.07336565500497819,0.46678959703445433,0.056472340106964114,0.5966275882720947,0.9472072181701661,0.8741999893188477,0.835,0.2910713596343994,0.15418047523498535,0.1867463550567627,0.851,0.3505796279907227,0.7631776580810546,0.3730879554748535,32.0,1.0,0.953599983215332,0.43873909378051756,0.46041915130615235,0.22010556411743165,0.918,0.9616000061035156
baseline__g05_sign_only__g1__s41,baseline,g05_sign_only,1.0,41,structure,0.001,0.0001,0.0,57,early_stopping,36.51067080005305,37,0.34561516451835633,0.07286872959136963,0.45602763891220094,0.061768150627613067,0.5906645221710205,0.9362796866893768,0.8806000137329102,0.842,0.2821016960144043,0.15328179359436034,0.1856759090423584,0.857,0.345615161895752,0.7451625061035156,0.3659396247863769,32.0,1.0,0.954599983215332,0.4497040710449219,0.42625172424316404,0.22186301994323732,0.919,0.9612000045776368
baseline__g05_sign_only__g1__s41,baseline,g05_sign_only,1.0,41,total,0.001,0.0001,0.0,57,early_stopping,36.51067080005305,37,0.34561516451835633,0.07286872959136963,0.45602763891220094,0.061768150627613067,0.5906645221710205,0.9362796866893768,0.8806000137329102,0.842,0.2821016960144043,0.15328179359436034,0.1856759090423584,0.857,0.345615161895752,0.7451625061035156,0.3659396247863769,32.0,1.0,0.954599983215332,0.4497040710449219,0.42625172424316404,0.22186301994323732,0.919,0.9612000045776368
baseline__g05_sign_only__g1__s42,baseline,g05_sign_only,1.0,42,structure,0.001,0.0001,0.0,62,early_stopping,38.40817970002536,42,0.34910545086860656,0.07530006521940232,0.46072743344306943,0.06493445384502411,0.6009619393348694,0.950067390203476,0.8686000061035156,0.832,0.2972998046875,0.15574238395690918,0.18798015213012695,0.859,0.3491054496765137,0.7502518615722656,0.3692874755859375,32.0,1.0,0.9548000030517578,0.44634907150268555,0.43911053466796873,0.22240278244018555,0.92,0.9624000015258789
baseline__g05_sign_only__g1__s42,baseline,g05_sign_only,1.0,42,total,0.001,0.0001,0.0,62,early_stopping,38.40817970002536,42,0.34910545086860656,0.07530006521940232,0.46072743344306943,0.06493445384502411,0.6009619393348694,0.950067390203476,0.8686000061035156,0.832,0.2972998046875,0.15574238395690918,0.18798015213012695,0.859,0.3491054496765137,0.7502518615722656,0.3692874755859375,32.0,1.0,0.9548000030517578,0.44634907150268555,0.43911053466796873,0.22240278244018555,0.92,0.9624000015258789
