g05_fraction,g05_count_per_sample,seed,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,charge1_position_error,charge2_position_error,mean_position_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,absolute_sign_accuracy,global_sign_accuracy,signed_pair_accuracy,observed_sample_fraction,best_epoch,best_validation_loss,checkpoint_path
0.0,0,41,0.10977988,0.15111965,0.10259465,0.111362696,0.16286466,0.10721667,0.2473735511302948,0.2579719126224518,0.2526727318763733,0.09858144,0.09496449,0.09671132266521454,0.999,,,,0.0,84,0.13407061672210693,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_000pct_seed_41_best.pt
0.0,0,42,0.11229506,0.16763325,0.11309993,0.11209031,0.16251685,0.11812378,0.2677643895149231,0.2670365571975708,0.26740047335624695,0.10698209,0.102465026,0.1043991968035698,0.999,,,,0.0,91,0.1432648732662201,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_000pct_seed_42_best.pt
0.0,0,43,0.1238147,0.18971562,0.12514655,0.12330413,0.20673557,0.13671097,0.29861029982566833,0.3216915428638458,0.3101509213447571,0.11109794,0.10478301,0.10780858248472214,0.999,,,,0.0,51,0.1590499176979065,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_000pct_seed_43_best.pt
0.1,3,41,0.13931718,0.21303041,0.14074503,0.13942507,0.19831274,0.13872339,0.33487263321876526,0.3251095414161682,0.32999108731746674,0.16410652,0.15770862,0.14524365961551666,0.985,0.9685,0.971,0.961,1.0,36,0.24435704481601714,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_010pct_seed_41_best.pt
0.1,3,42,0.12141227,0.17156899,0.1198425,0.12789106,0.1716141,0.11671106,0.28091633319854736,0.28328466415405273,0.28210049867630005,0.15145096,0.14751568,0.13461630046367645,0.987,0.9715,0.971,0.965,1.0,65,0.22491760611534117,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_010pct_seed_42_best.pt
0.1,3,43,0.10902725,0.16164134,0.1166048,0.11424802,0.17350028,0.12573248,0.26213428378105164,0.2819550633430481,0.27204467356204987,0.1554243,0.14746636,0.13758473098278046,0.979,0.9705,0.971,0.96,1.0,83,0.2127355468273163,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_010pct_seed_43_best.pt
0.25,8,41,0.11827371,0.17348716,0.12217955,0.12449729,0.17076637,0.12530223,0.2807866334915161,0.2847880423069,0.28278733789920807,0.15066956,0.15406628,0.13933253288269043,0.986,0.975,0.974,0.968,1.0,58,0.21661391830444335,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_025pct_seed_41_best.pt
0.25,8,42,0.12167551,0.18004984,0.11820969,0.12926349,0.17793521,0.11970847,0.2863605320453644,0.2896897494792938,0.2880251407623291,0.14939575,0.1502422,0.138383686542511,0.981,0.9735,0.974,0.964,1.0,62,0.20817629170417787,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_025pct_seed_42_best.pt
0.25,8,43,0.12994386,0.17774728,0.12397746,0.12783806,0.176814,0.12971245,0.2930378019809723,0.29467132687568665,0.29385456442832947,0.15170449,0.15192993,0.1376631110906601,0.985,0.9695,0.968,0.962,1.0,58,0.21581994438171387,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_025pct_seed_43_best.pt
0.5,16,41,0.14212272,0.1970597,0.13256732,0.13040948,0.19793276,0.13490134,0.3178115487098694,0.3142407238483429,0.31602613627910614,0.15149198,0.15450796,0.1411629319190979,0.985,0.9745,0.977,0.967,1.0,38,0.22275395488739014,C:\Users\COM\Documents\KK-AI\Models\g05_fraction_checkpoints_v2\g05_050pct_seed_41_best.pt
