g05_fraction,g05_count_per_sample,seed,mean_position_mae,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,charge1_position_error,charge2_position_error,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,observed_sample_fraction,observations_per_sample,best_structure_loss,best_structure_epoch,best_position_loss,best_position_epoch,best_magnitude_loss,best_magnitude_epoch,best_global_sign_loss,best_global_sign_epoch,structure_checkpoint_path,position_checkpoint_path,magnitude_checkpoint_path,global_sign_checkpoint_path,composed_checkpoint_path
0.0,0,41,0.15029901266098022,0.13000995,0.190752,0.1261946,0.124096826,0.19885258,0.13188806,0.30335748195648193,0.3089662492275238,0.30616186559200287,0.1109728583395481,0.10186503115296364,0.10551294684410095,0.997,,,,,0.0,0.0,0.17842659890651702,62,0.1281275070309639,68,0.03693524515628815,68,,,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_41_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_41_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_41_best_magnitude.pt,,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_41_composed.pt
0.0,0,42,0.1628275215625763,0.13604848,0.21846145,0.1328898,0.13179184,0.21873184,0.13904174,0.3307247757911682,0.33465033769607544,0.3326875567436218,0.10862132787704468,0.10468437173962593,0.10665284842252731,1.0,,,,,0.0,0.0,0.19032263803482055,46,0.14336462622880936,52,0.03955591258406639,52,,,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_42_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_42_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_42_best_magnitude.pt,,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_42_composed.pt
0.0,0,43,0.15577919781208038,0.13506871,0.20539157,0.12908481,0.1296008,0.20205139,0.13347791,0.3189253807067871,0.31565502285957336,0.31729020178318024,0.10741343319416047,0.10268947280943394,0.10472487658262253,0.999,,,,,0.0,0.0,0.17126206946372985,53,0.1298039966225624,59,0.03677621886134148,55,,,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_43_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_43_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_43_best_magnitude.pt,,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_000pct_seed_43_composed.pt
0.1,3,41,0.14478063583374023,0.12355247,0.183021,0.12317238,0.12184559,0.1900255,0.12706688,0.2922798991203308,0.2979829013347626,0.2951314002275467,0.1607517646253109,0.16097650495171548,0.1028594896197319,0.999,0.1250791440194282,0.951,0.9505,0.95,1.0,3.0,0.16967427718639375,72,0.12557887518405914,80,0.03637327921390533,78,0.1373212436437607,70,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_41_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_41_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_41_best_magnitude.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_41_best_global_sign.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_41_composed.pt
0.1,3,42,0.1511242836713791,0.13143721,0.20192645,0.11983305,0.12866044,0.19508831,0.12980027,0.30798497796058655,0.31046968698501587,0.3092273324728012,0.1624807683825493,0.16138012893497944,0.10601145774126053,1.0,0.12312235902799232,0.952,0.952,0.952,1.0,3.0,0.17763101172447204,64,0.13066857087612152,71,0.03837841272354126,67,0.13674016690254212,60,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_42_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_42_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_42_best_magnitude.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_42_best_global_sign.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_42_composed.pt
0.1,3,43,0.13817743957042694,0.11032642,0.18224269,0.11816326,0.123267196,0.17813562,0.116929464,0.28144529461860657,0.2844322621822357,0.28293877840042114,0.1548190520554781,0.15461549173295497,0.09943516552448273,0.998,0.12050176471723886,0.953,0.953,0.952,1.0,3.0,0.15677389395236968,99,0.11160400933027267,104,0.03609663695096969,99,0.13863749563694,77,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_43_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_43_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_43_best_magnitude.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_43_best_global_sign.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_010pct_seed_43_composed.pt
0.25,8,41,0.14478063583374023,0.12355247,0.183021,0.12317238,0.12184559,0.1900255,0.12706688,0.2922798991203308,0.2979829013347626,0.2951314002275467,0.1402208454310894,0.1377467706501484,0.1028594896197319,0.999,0.0753985759363276,0.968,0.9675,0.967,1.0,8.0,0.16967427718639375,72,0.12557887518405914,80,0.03637327921390533,78,0.07280755633115768,72,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_41_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_41_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_41_best_magnitude.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_41_best_global_sign.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_41_composed.pt
0.25,8,42,0.1511242836713791,0.13143721,0.20192645,0.11983305,0.12866044,0.19508831,0.12980027,0.30798497796058655,0.31046968698501587,0.3092273324728012,0.14112056148052216,0.14053400845825673,0.10601145774126053,1.0,0.08234598656413457,0.969,0.969,0.969,1.0,8.0,0.17763101172447204,64,0.12843168461322785,75,0.03837841272354126,67,0.07502440604567527,69,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_42_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_42_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_42_best_magnitude.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_42_best_global_sign.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_42_composed.pt
0.25,8,43,0.13817743957042694,0.11032642,0.18224269,0.11816326,0.123267196,0.17813562,0.116929464,0.28144529461860657,0.2844322621822357,0.28293877840042114,0.13208162893354894,0.13065412478148938,0.09943516552448273,0.998,0.07428545446545692,0.971,0.971,0.97,1.0,8.0,0.15677389395236968,99,0.11160400933027267,104,0.03609663695096969,99,0.06864006972312928,94,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_43_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_43_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_43_best_magnitude.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_43_best_global_sign.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_025pct_seed_43_composed.pt
0.5,16,41,0.14148768782615662,0.12018399,0.17780362,0.1131882,0.12080853,0.19299844,0.12394338,0.28244391083717346,0.2983311712741852,0.2903875410556793,0.12883659505844117,0.1252535192668438,0.09838062524795532,0.999,0.06966174916836326,0.975,0.9745,0.974,1.0,16.0,0.15983127558231353,91,0.11529715633392335,98,0.03525544553995132,91,0.059244828552007675,99,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_050pct_seed_41_best_structure.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_050pct_seed_41_best_position.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_050pct_seed_41_best_magnitude.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_050pct_seed_41_best_global_sign.pt,C:\Users\COM\Documents\KK-AI\Models\g05_separated_branch_checkpoints_v3\g05_050pct_seed_41_composed.pt
