model_a,model_b,g05_fraction,metric,paired_seed_count,paired_seeds,delta_b_minus_a_mean,delta_b_minus_a_std,improvement_b_over_a_mean,improvement_definition
g05_sign_only,g05_full_reconstruction,0.5,mean_position_mae,3,"41,42,43",-0.0030761882662773132,0.005312306299192854,0.0030761882662773132,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_1,3,"41,42,43",-0.0034261991580327353,0.00922834053768452,0.0034261991580327353,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_2,3,"41,42,43",-0.007975990573565165,0.012264903278102776,0.007975990573565165,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,mean_position_3d_error,3,"41,42,43",-0.00570109486579895,0.01074625667623462,0.00570109486579895,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_mae_q1,3,"41,42,43",-0.0023302550911903364,0.005595544257547606,0.0023302550911903364,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_mae_q2,3,"41,42,43",-0.005491494230926046,0.0011390030448864454,0.005491494230926046,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_magnitude_mae,3,"41,42,43",-0.00026363879442214966,0.0016177459147302395,0.00026363879442214966,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,relative_sign_accuracy,3,"41,42,43",-0.0006666666666666673,0.0011547005383792525,-0.0006666666666666673,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,global_sign_bce,3,"41,42,43",-0.003994488871501739,0.0057274382246145904,0.003994488871501739,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,global_sign_accuracy,3,"41,42,43",0.0013333333333333346,0.004163331998932269,0.0013333333333333346,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,absolute_sign_accuracy,3,"41,42,43",0.001666666666666668,0.0037859388972001857,0.001666666666666668,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,signed_pair_accuracy,3,"41,42,43",0.0013333333333333346,0.004041451884327384,0.0013333333333333346,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,mean_position_mae,3,"41,42,43",-0.0012920647859573364,0.002652863548378801,0.0012920647859573364,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,position_error_1,3,"41,42,43",-0.0009055137634277344,0.006130455716649202,0.0009055137634277344,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,position_error_2,3,"41,42,43",-0.0024284223715464273,0.004192114363464583,0.0024284223715464273,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,mean_position_3d_error,3,"41,42,43",-0.0016669680674870808,0.005015252796105589,0.0016669680674870808,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,charge_mae_q1,3,"41,42,43",0.004831553786993033,0.005060056575499809,-0.004831553786993033,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,charge_mae_q2,3,"41,42,43",0.006772852480411526,0.001963467020165861,-0.006772852480411526,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,charge_magnitude_mae,3,"41,42,43",-0.00042455891768137616,0.004174623032035908,0.00042455891768137616,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,relative_sign_accuracy,3,"41,42,43",0.0,0.0,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,global_sign_bce,3,"41,42,43",0.0033432182032651706,0.002054174853835063,-0.0033432182032651706,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,global_sign_accuracy,3,"41,42,43",-0.005666666666666671,0.0011547005383792527,-0.005666666666666671,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,absolute_sign_accuracy,3,"41,42,43",-0.005666666666666671,0.0005773502691896263,-0.005666666666666671,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.75,signed_pair_accuracy,3,"41,42,43",-0.005666666666666671,0.0005773502691896263,-0.005666666666666671,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,mean_position_mae,3,"41,42,43",0.000526199738184611,0.00474618946429896,-0.000526199738184611,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,position_error_1,3,"41,42,43",0.003927985827128093,0.011537684698476507,-0.003927985827128093,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,position_error_2,3,"41,42,43",0.001388142506281535,0.011207813967595875,-0.001388142506281535,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,mean_position_3d_error,3,"41,42,43",0.0026580641667048135,0.010553977329856176,-0.0026580641667048135,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,charge_mae_q1,3,"41,42,43",-0.0019506841500600235,0.007386934782536074,0.0019506841500600235,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,charge_mae_q2,3,"41,42,43",-0.00211818708976109,0.005039777806358331,0.00211818708976109,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,charge_magnitude_mae,3,"41,42,43",0.0004930819074312846,0.001008264867806802,-0.0004930819074312846,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,relative_sign_accuracy,3,"41,42,43",-0.0010000000000000009,0.0017320508075688791,-0.0010000000000000009,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,global_sign_bce,3,"41,42,43",-0.008687065015694655,0.004022605826923278,0.008687065015694655,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,global_sign_accuracy,3,"41,42,43",0.002666666666666669,0.0050332229568471705,0.002666666666666669,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,absolute_sign_accuracy,3,"41,42,43",0.0018333333333333164,0.005251983752196277,0.0018333333333333164,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,1.0,signed_pair_accuracy,3,"41,42,43",0.0013333333333333346,0.006027713773341714,0.0013333333333333346,positive means model_b is better; sign is reversed for error/loss metrics
