model,model_description,input_policy,g05_fraction,g05_count_per_sample,run_count,seeds,parameter_count,std_definition,mean_position_mae_mean,mean_position_mae_std,position_error_1_mean,position_error_1_std,position_error_2_mean,position_error_2_std,mean_position_3d_error_mean,mean_position_3d_error_std,charge_mae_q1_mean,charge_mae_q1_std,charge_mae_q2_mean,charge_mae_q2_std,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_mean,relative_sign_accuracy_std,global_sign_bce_mean,global_sign_bce_std,global_sign_accuracy_mean,global_sign_accuracy_std,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,signed_pair_accuracy_mean,signed_pair_accuracy_std
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,1,41,211946,sample std across independent seeds (ddof=1),0.12232870608568192,,0.2515489161014557,,0.251743882894516,,0.25164639949798584,,0.10049086552858352,,0.09713883262872695,,0.09811192750930786,,0.998,,,,,,,,,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,1,41,211946,sample std across independent seeds (ddof=1),0.11918589472770691,,0.2442944049835205,,0.2453661412000656,,0.24483027309179306,,0.16319258043169976,,0.15656330500543117,,0.09919655323028564,,0.997,,0.1233465740214688,,0.946,,0.9455,,0.944,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,1,41,211946,sample std across independent seeds (ddof=1),0.13113512098789215,,0.2715076804161072,,0.26865676045417786,,0.2700822204351425,,0.13074271868169307,,0.13374162849783897,,0.09968911856412888,,0.999,,0.07655750022570111,,0.97,,0.9695,,0.969,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,1,41,211946,sample std across independent seeds (ddof=1),0.12504102289676666,,0.2529647946357727,,0.2605856657028198,,0.25677523016929626,,0.13048392832279204,,0.12879124711453915,,0.10090110450983047,,0.998,,0.06433216752247095,,0.975,,0.974,,0.973,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,1,41,211946,sample std across independent seeds (ddof=1),0.1256178766489029,,0.25961652398109436,,0.2614186406135559,,0.26051758229732513,,0.12446825940907001,,0.1308372865319252,,0.09939039498567581,,0.998,,0.056755974037064644,,0.976,,0.976,,0.975,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,1,41,211946,sample std across independent seeds (ddof=1),0.12609632313251495,,0.25498664379119873,,0.26158806681632996,,0.25828735530376434,,0.12223132845759392,,0.12477274557948112,,0.10154585540294647,,0.998,,0.0546423728442213,,0.979,,0.978,,0.977,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,1,41,211946,sample std across independent seeds (ddof=1),0.12232870608568192,,0.2515489161014557,,0.251743882894516,,0.25164639949798584,,0.10049086552858352,,0.09713883262872695,,0.09811192750930786,,0.998,,,,,,,,,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,1,41,211946,sample std across independent seeds (ddof=1),0.12435442954301834,,0.25231966376304626,,0.25516068935394287,,0.25374017655849457,,0.15665321023762227,,0.15173823511600495,,0.0993080586194992,,0.998,,0.12328717242369748,,0.95,,0.95,,0.949,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,1,41,211946,sample std across independent seeds (ddof=1),0.12232870608568192,,0.2515489161014557,,0.251743882894516,,0.25164639949798584,,0.1380826630592346,,0.13579976999759674,,0.09811192750930786,,0.998,,0.07488372252227167,,0.965,,0.965,,0.964,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,1,41,211946,sample std across independent seeds (ddof=1),0.12232870608568192,,0.2515489161014557,,0.251743882894516,,0.25164639949798584,,0.12842622411251067,,0.12912848055362702,,0.09811192750930786,,0.998,,0.06644104495898683,,0.973,,0.972,,0.971,
