model,model_description,input_policy,g05_fraction,g05_count_per_sample,run_count,seeds,parameter_count,std_definition,mean_position_mae_mean,mean_position_mae_std,position_error_1_mean,position_error_1_std,position_error_2_mean,position_error_2_std,mean_position_3d_error_mean,mean_position_3d_error_std,charge_mae_q1_mean,charge_mae_q1_std,charge_mae_q2_mean,charge_mae_q2_std,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_mean,relative_sign_accuracy_std,global_sign_bce_mean,global_sign_bce_std,global_sign_accuracy_mean,global_sign_accuracy_std,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,signed_pair_accuracy_mean,signed_pair_accuracy_std
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,3,"41,42,43",211946,sample std across independent seeds (ddof=1),0.12532518555720648,0.003532565908257019,0.25466517607371014,0.009201793123189934,0.25944796204566956,0.004987941700857264,0.2570565690596898,0.006995314494116854,0.09926003174483777,0.0005879620640142516,0.09741057668129603,0.0022966217762094795,0.0979849174618721,0.0011325067927474288,0.999,0.0010000000000000009,,,,,,,,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,2,"41,42",211946,sample std across independent seeds (ddof=1),0.12941042333841324,0.0011260268149534281,0.2643589973449707,0.007743387595815495,0.2689516395330429,0.0003964964773662356,0.2666553184390068,0.0036734455592246297,0.16055365642160177,0.003070820783886466,0.15538451006263493,0.0012792606073099662,0.09968728199601173,0.00215375137411126,0.9975,0.0007071067811865482,0.12532428243484112,0.004587897946568553,0.9484999999999999,0.0035355339059327407,0.94825,0.0038890872965259755,0.947,0.004242640687119289
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,1,41,211946,sample std across independent seeds (ddof=1),0.12466999143362045,,0.2522396445274353,,0.2611846327781677,,0.2567121386528015,,0.12713848695158958,,0.12502037469297647,,0.09759224206209183,,0.998,,0.06556186398261724,,0.973,,0.973,,0.972,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,1,41,211946,sample std across independent seeds (ddof=1),0.12318447977304459,,0.24698875844478607,,0.26122695207595825,,0.25410785526037216,,0.13043000078201294,,0.1309495093524456,,0.09875643998384476,,0.999,,0.05824617098119754,,0.97,,0.9705,,0.97,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,1,41,211946,sample std across independent seeds (ddof=1),0.1237294003367424,,0.2557324171066284,,0.2536875307559967,,0.25470997393131256,,0.12542363081872462,,0.1227672865986824,,0.10022962838411331,,0.998,,0.05413225647898629,,0.978,,0.977,,0.976,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,3,"41,42,43",211946,sample std across independent seeds (ddof=1),0.12532518555720648,0.003532565908257019,0.25466517607371014,0.009201793123189934,0.25944796204566956,0.004987941700857264,0.2570565690596898,0.006995314494116854,0.09926003174483777,0.0005879620640142516,0.09741057668129603,0.0022966217762094795,0.0979849174618721,0.0011325067927474288,0.999,0.0010000000000000009,,,,,,,,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,2,"41,42",211946,sample std across independent seeds (ddof=1),0.12424922361969948,0.000968908632060879,0.25075117498636246,0.005125256976455141,0.25837258994579315,0.001490839398951599,0.2545618824660778,0.001817208788751771,0.15351882264018057,0.0018992333415965745,0.15569921477884055,0.0022631903340332685,0.0977322906255722,0.0007925082659745959,0.9984999999999999,0.0007071067811865482,0.12045765922105331,0.004720794739232236,0.951,0.0014142135623730963,0.95075,0.0010606601717798615,0.95,0.0014142135623730963
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,1,41,211946,sample std across independent seeds (ddof=1),0.12200429290533066,,0.2456117570400238,,0.2558782696723938,,0.2507450133562088,,0.12680860854685305,,0.1293476718813181,,0.09927845746278763,,0.998,,0.0676440978505243,,0.975,,0.974,,0.973,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.75,24,1,41,211946,sample std across independent seeds (ddof=1),0.12412508577108383,,0.24824313819408417,,0.26160934567451477,,0.25492624193429947,,0.1267630055397749,,0.12374291390180588,,0.09982116520404816,,0.999,,0.05595710416616045,,0.977,,0.9765,,0.976,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",1.0,32,1,41,211946,sample std across independent seeds (ddof=1),0.12200429290533066,,0.2456117570400238,,0.2558782696723938,,0.2507450133562088,,0.12499347199499607,,0.12647580267488956,,0.09927845746278763,,0.998,,0.06479290919393067,,0.976,,0.975,,0.974,
