model,model_description,input_policy,g05_fraction,g05_count_per_sample,run_count,seeds,parameter_count,std_definition,mean_position_mae_mean,mean_position_mae_std,position_error_1_mean,position_error_1_std,position_error_2_mean,position_error_2_std,mean_position_3d_error_mean,mean_position_3d_error_std,charge_mae_q1_mean,charge_mae_q1_std,charge_mae_q2_mean,charge_mae_q2_std,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_mean,relative_sign_accuracy_std,global_sign_bce_mean,global_sign_bce_std,global_sign_accuracy_mean,global_sign_accuracy_std,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,signed_pair_accuracy_mean,signed_pair_accuracy_std
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,1,43,211946,sample std across independent seeds (ddof=1),0.1272159069776535,,0.26050829887390137,,0.2607349753379822,,0.2606216371059418,,0.09693697653710842,,0.09792824085056782,,0.09710603207349777,,0.999,,,,,,,,,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,1,43,211946,sample std across independent seeds (ddof=1),0.1221073567867279,,0.251862496137619,,0.24933981895446777,,0.2506011575460434,,0.15033461080491542,,0.1523068224042654,,0.09396375715732574,,0.996,,0.11782907154959052,,0.952,,0.95,,0.948,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,1,43,211946,sample std across independent seeds (ddof=1),0.12197910994291306,,0.25255087018013,,0.2473989725112915,,0.24997492134571075,,0.12315914572775363,,0.12245632137358188,,0.09802453219890594,,0.997,,0.07249400883397734,,0.977,,0.9765,,0.975,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,1,43,211946,sample std across independent seeds (ddof=1),0.12612058222293854,,0.2528519630432129,,0.26654791831970215,,0.2596999406814575,,0.13049402436614035,,0.12976852771639824,,0.09481271356344223,,0.998,,0.07095164940896337,,0.968,,0.967,,0.966,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,1,43,211946,sample std across independent seeds (ddof=1),0.1204698383808136,,0.24396252632141113,,0.25154945254325867,,0.2477559894323349,,0.12581533658504487,,0.12075499412417412,,0.09635794907808304,,0.997,,0.05882011549672759,,0.975,,0.9745,,0.973,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,1,43,211946,sample std across independent seeds (ddof=1),0.12657806277275085,,0.261924147605896,,0.25861015915870667,,0.26026715338230133,,0.12188769580423832,,0.12033015590906143,,0.09677769243717194,,0.997,,0.061314284165439416,,0.979,,0.9775,,0.976,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,1,43,211946,sample std across independent seeds (ddof=1),0.1272159069776535,,0.26050829887390137,,0.2607349753379822,,0.2606216371059418,,0.09693697653710842,,0.09792824085056782,,0.09710603207349777,,0.999,,,,,,,,,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,1,43,211946,sample std across independent seeds (ddof=1),0.12779779732227325,,0.26481178402900696,,0.2611926794052124,,0.2630022317171097,,0.15251220589876174,,0.15610547330975533,,0.09852594137191772,,0.999,,0.11888264519186562,,0.953,,0.9525,,0.952,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,1,43,211946,sample std across independent seeds (ddof=1),0.1272159069776535,,0.26050829887390137,,0.2607349753379822,,0.2606216371059418,,0.12810865257680415,,0.13036998350918294,,0.09710603207349777,,0.999,,0.07097722424369371,,0.97,,0.9695,,0.969,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,1,43,211946,sample std across independent seeds (ddof=1),0.1272159069776535,,0.26050829887390137,,0.2607349753379822,,0.2606216371059418,,0.1271730316132307,,0.12615729899704456,,0.09710603207349777,,0.999,,0.06476302426559531,,0.973,,0.9725,,0.972,
