model_a,model_b,g05_fraction,metric,paired_seed_count,paired_seeds,delta_b_minus_a_mean,delta_b_minus_a_std,improvement_b_over_a_mean,improvement_definition
g05_sign_only,g05_full_reconstruction,0.0,mean_position_mae,1,42,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,position_error_1,1,42,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,position_error_2,1,42,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,mean_position_3d_error,1,42,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_mae_q1,1,42,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_mae_q2,1,42,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_magnitude_mae,1,42,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,relative_sign_accuracy,1,42,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,mean_position_mae,1,42,0.005515828728675842,,-0.005515828728675842,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,position_error_1,1,42,0.004724234342575073,,-0.004724234342575073,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,position_error_2,1,42,0.0173492431640625,,-0.0173492431640625,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,mean_position_3d_error,1,42,0.011036738753318787,,-0.011036738753318787,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_mae_q1,1,42,-0.008518180459737762,,0.008518180459737762,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_mae_q2,1,42,-0.005477582633495348,,0.005477582633495348,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_magnitude_mae,1,42,-0.002290286123752594,,0.002290286123752594,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,relative_sign_accuracy,1,42,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,global_sign_bce,1,42,0.0022024353120914802,,-0.0022024353120914802,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,global_sign_accuracy,1,42,0.0030000000000000027,,0.0030000000000000027,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,absolute_sign_accuracy,1,42,0.0030000000000000027,,0.0030000000000000027,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,signed_pair_accuracy,1,42,0.0030000000000000027,,0.0030000000000000027,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,mean_position_mae,1,42,-0.005226291716098785,,0.005226291716098785,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,position_error_1,1,42,-0.009317800402641296,,0.009317800402641296,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,position_error_2,1,42,-0.011736661195755005,,0.011736661195755005,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,mean_position_3d_error,1,42,-0.01052723079919815,,0.01052723079919815,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_mae_q1,1,42,-0.0006967899203300376,,0.0006967899203300376,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_mae_q2,1,42,0.00016906797885896108,,-0.00016906797885896108,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_magnitude_mae,1,42,-0.0029048100113868713,,0.0029048100113868713,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,relative_sign_accuracy,1,42,0.0010000000000000009,,0.0010000000000000009,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,global_sign_bce,1,42,-0.00019564410111053143,,0.00019564410111053143,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,global_sign_accuracy,1,42,-0.0030000000000000027,,-0.0030000000000000027,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,absolute_sign_accuracy,1,42,-0.0024999999999999467,,-0.0024999999999999467,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,signed_pair_accuracy,1,42,-0.0020000000000000018,,-0.0020000000000000018,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,mean_position_mae,1,42,-0.0001469925045967102,,0.0001469925045967102,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_1,1,42,0.002503722906112671,,-0.002503722906112671,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_2,1,42,-0.0019860565662384033,,0.0019860565662384033,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,mean_position_3d_error,1,42,0.0002588331699371338,,-0.0002588331699371338,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_mae_q1,1,42,-0.007258945569396019,,0.007258945569396019,positive means model_b is better; sign is reversed for error/loss metrics
