model,model_description,input_policy,g05_fraction,g05_count_per_sample,run_count,seeds,parameter_count,std_definition,mean_position_mae_mean,mean_position_mae_std,position_error_1_mean,position_error_1_std,position_error_2_mean,position_error_2_std,mean_position_3d_error_mean,mean_position_3d_error_std,charge_mae_q1_mean,charge_mae_q1_std,charge_mae_q2_mean,charge_mae_q2_std,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_mean,relative_sign_accuracy_std,global_sign_bce_mean,global_sign_bce_std,global_sign_accuracy_mean,global_sign_accuracy_std,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,signed_pair_accuracy_mean,signed_pair_accuracy_std
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,1,42,211946,sample std across independent seeds (ddof=1),0.12456133961677551,,0.2553708851337433,,0.25494617223739624,,0.25515852868556976,,0.10259667788445949,,0.10386610861122608,,0.10238705575466156,,0.997,,,,,,,,,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,1,42,211946,sample std across independent seeds (ddof=1),0.13007716834545135,,0.26009511947631836,,0.27229541540145874,,0.26619526743888855,,0.15532009188830853,,0.15517447359859943,,0.10009676963090897,,0.997,,0.12423691131558538,,0.951,,0.9505,,0.949,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,1,42,211946,sample std across independent seeds (ddof=1),0.1210719421505928,,0.2480059415102005,,0.24845480918884277,,0.24823037534952164,,0.12932541766762734,,0.12990237960219383,,0.09849031269550323,,0.999,,0.07609800242391523,,0.971,,0.9715,,0.971,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,1,42,211946,sample std across independent seeds (ddof=1),0.1244143471121788,,0.25787460803985596,,0.25296011567115784,,0.2554173618555069,,0.12489717522263527,,0.1268156931847334,,0.09946591407060623,,0.998,,0.06419946564927075,,0.976,,0.976,,0.975,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,1,42,211946,sample std across independent seeds (ddof=1),0.12440136820077896,,0.2579529285430908,,0.25566157698631287,,0.25680725276470184,,0.12219025054574013,,0.12385513988137245,,0.09971815347671509,,0.998,,0.06039831906040856,,0.98,,0.98,,0.979,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,1,42,211946,sample std across independent seeds (ddof=1),0.1268407106399536,,0.25890856981277466,,0.2626935839653015,,0.2608010768890381,,0.13052415707707404,,0.12957677434384823,,0.10329896956682205,,0.997,,0.06593038263662078,,0.977,,0.9755,,0.974,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,1,42,211946,sample std across independent seeds (ddof=1),0.12456133961677551,,0.2553708851337433,,0.25494617223739624,,0.25515852868556976,,0.10259667788445949,,0.10386610861122608,,0.10238705575466156,,0.997,,,,,,,,,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,1,42,211946,sample std across independent seeds (ddof=1),0.12456133961677551,,0.2553708851337433,,0.25494617223739624,,0.25515852868556976,,0.1638382723480463,,0.16065205623209478,,0.10238705575466156,,0.997,,0.1220344760034939,,0.948,,0.9475,,0.946,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,1,42,211946,sample std across independent seeds (ddof=1),0.1262982338666916,,0.2573237419128418,,0.2601914703845978,,0.2587576061487198,,0.13002220758795738,,0.12973331162333487,,0.1013951227068901,,0.998,,0.07629364652502577,,0.974,,0.974,,0.973,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,1,42,211946,sample std across independent seeds (ddof=1),0.12456133961677551,,0.2553708851337433,,0.25494617223739624,,0.25515852868556976,,0.1321561207920313,,0.13075885273516177,,0.10238705575466156,,0.997,,0.07276126059360138,,0.974,,0.9735,,0.972,
