model_a,model_b,g05_fraction,metric,paired_seed_count,paired_seeds,delta_b_minus_a_mean,delta_b_minus_a_std,improvement_b_over_a_mean,improvement_definition
g05_sign_only,g05_full_reconstruction,0.0,mean_position_mae,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,position_error_1,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,position_error_2,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,mean_position_3d_error,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_mae_q1,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_mae_q2,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,charge_magnitude_mae,1,43,0.0,,-0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.0,relative_sign_accuracy,1,43,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,mean_position_mae,1,43,-0.005370005965232849,,0.005370005965232849,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,position_error_1,1,43,-0.013329386711120605,,0.013329386711120605,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,position_error_2,1,43,-0.00805702805519104,,0.00805702805519104,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,mean_position_3d_error,1,43,-0.010693207383155823,,0.010693207383155823,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_mae_q1,1,43,0.0029058501869440034,,-0.0029058501869440034,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_mae_q2,1,43,-0.00628493662178517,,0.00628493662178517,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,charge_magnitude_mae,1,43,-0.0023671090602874756,,0.0023671090602874756,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,relative_sign_accuracy,1,43,-0.0010000000000000009,,-0.0010000000000000009,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,global_sign_bce,1,43,-0.000649273866959385,,0.000649273866959385,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,global_sign_accuracy,1,43,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,absolute_sign_accuracy,1,43,-0.0004999999999999449,,-0.0004999999999999449,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.1,signed_pair_accuracy,1,43,-0.0010000000000000009,,-0.0010000000000000009,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,mean_position_mae,1,43,-0.002874515950679779,,0.002874515950679779,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,position_error_1,1,43,-0.0001843869686126709,,0.0001843869686126709,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,position_error_2,1,43,-0.013566911220550537,,0.013566911220550537,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,mean_position_3d_error,1,43,-0.006875649094581604,,0.006875649094581604,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_mae_q1,1,43,-0.0020540002435445737,,0.0020540002435445737,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_mae_q2,1,43,-0.00020043057203292247,,0.00020043057203292247,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,charge_magnitude_mae,1,43,-9.462237358093262e-07,,9.462237358093262e-07,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,relative_sign_accuracy,1,43,-0.0030000000000000027,,-0.0030000000000000027,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,global_sign_bce,1,43,-0.00410562348899858,,0.00410562348899858,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,global_sign_accuracy,1,43,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,absolute_sign_accuracy,1,43,-0.0004999999999999449,,-0.0004999999999999449,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.25,signed_pair_accuracy,1,43,-0.0020000000000000018,,-0.0020000000000000018,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,mean_position_mae,1,43,-0.007816262543201447,,0.007816262543201447,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_1,1,43,-0.01151081919670105,,0.01151081919670105,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,position_error_2,1,43,-0.018873006105422974,,0.018873006105422974,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,mean_position_3d_error,1,43,-0.015191912651062012,,0.015191912651062012,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_mae_q1,1,43,0.0014389803558587932,,-0.0014389803558587932,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_mae_q2,1,43,-0.005543675899505621,,0.005543675899505621,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,charge_magnitude_mae,1,43,-0.0006008297204971313,,0.0006008297204971313,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,relative_sign_accuracy,1,43,-0.0020000000000000018,,-0.0020000000000000018,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,global_sign_bce,1,43,0.0005321757272366279,,-0.0005321757272366279,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,global_sign_accuracy,1,43,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
g05_sign_only,g05_full_reconstruction,0.5,absolute_sign_accuracy,1,43,0.0,,0.0,positive means model_b is better; sign is reversed for error/loss metrics
