seed,g05_fraction,g05_count,position_mae_x,position_mae_y,position_mae_z,mean_position_mae,mean_position_3d_error,charge_magnitude_mae,relative_sign_accuracy,relative_configuration_accuracy,pairwise_relative_sign_accuracy,charge_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,absolute_sign_accuracy,absolute_sign_set_accuracy,observed_sample_fraction,observations_per_sample,best_structure_loss,best_structure_epoch,best_global_sign_loss,best_global_sign_epoch,checkpoint_path
42,0.0,0,0.4457505950927734,0.4218253517150879,0.2221205654144287,0.363232177734375,0.7422000274658204,0.15836086654663087,0.9591999969482422,0.908,0.9468000030517578,0.19648277282714843,0.19648277282714843,,,,,0.0,0.0,0.594987015247345,43,,,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_42_g05_0p0\composed.pt
43,0.0,0,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.19724883460998535,0.19724883460998535,,,,,0.0,0.0,0.5999058632850647,31,,,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_43_g05_0p0\composed.pt
42,0.1,3,0.4457505950927734,0.4218253517150879,0.2221205654144287,0.363232177734375,0.7422000274658204,0.15836086654663087,0.9591999969482422,0.908,0.9468000030517578,0.310285270690918,0.19648277282714843,0.85,0.36109845352172854,0.8636000137329102,0.819,1.0,3.0,0.594987015247345,43,0.3654747471809387,233,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_42_g05_0p1\composed.pt
43,0.1,3,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.3098422393798828,0.19724883460998535,0.849,0.36287182998657225,0.8645999984741211,0.821,1.0,3.0,0.5999058632850647,31,0.3684089024066925,282,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_43_g05_0p1\composed.pt
42,0.25,8,0.4457505950927734,0.4218253517150879,0.2221205654144287,0.363232177734375,0.7422000274658204,0.15836086654663087,0.9591999969482422,0.908,0.9468000030517578,0.2891325569152832,0.19648277282714843,0.865,0.34784909057617186,0.8817999954223633,0.837,1.0,8.0,0.594987015247345,43,0.3377634892463684,275,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_42_g05_0p25\composed.pt
43,0.25,8,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.28294814682006836,0.19724883460998535,0.87,0.34480638122558593,0.8872000045776367,0.844,1.0,8.0,0.5999058632850647,31,0.3400216238498688,244,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_43_g05_0p25\composed.pt
42,0.5,16,0.4457505950927734,0.4218253517150879,0.2221205654144287,0.363232177734375,0.7422000274658204,0.15836086654663087,0.9591999969482422,0.908,0.9468000030517578,0.2900409355163574,0.19648277282714843,0.871,0.32749750137329103,0.8813999862670898,0.838,1.0,16.0,0.594987015247345,43,0.33491067814826964,265,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_42_g05_0p5\composed.pt
43,0.5,16,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.28633516311645507,0.19724883460998535,0.867,0.34256103897094725,0.8842000045776367,0.841,1.0,16.0,0.5999058632850647,31,0.3316314828395843,274,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_43_g05_0p5\composed.pt
42,0.75,24,0.4457505950927734,0.4218253517150879,0.2221205654144287,0.363232177734375,0.7422000274658204,0.15836086654663087,0.9591999969482422,0.908,0.9468000030517578,0.2892548866271973,0.19648277282714843,0.868,0.3301515769958496,0.8816000061035156,0.839,1.0,24.0,0.594987015247345,43,0.3266417212486267,265,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_42_g05_0p75\composed.pt
43,0.75,24,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.29380197906494143,0.19724883460998535,0.86,0.32892423248291014,0.878,0.835,1.0,24.0,0.5999058632850647,31,0.33220882415771485,128,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_43_g05_0p75\composed.pt
42,1.0,32,0.4457505950927734,0.4218253517150879,0.2221205654144287,0.363232177734375,0.7422000274658204,0.15836086654663087,0.9591999969482422,0.908,0.9468000030517578,0.2941538276672363,0.19648277282714843,0.865,0.32305800247192384,0.8778000030517578,0.836,1.0,32.0,0.594987015247345,43,0.32572277665138244,262,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_42_g05_1p0\composed.pt
43,1.0,32,0.4418797950744629,0.45999319076538087,0.22261006546020506,0.3748277015686035,0.7661625061035157,0.15873043632507325,0.9596000137329102,0.909,0.9473999938964843,0.28622907638549805,0.19724883460998535,0.865,0.33101529693603515,0.8845999984741211,0.841,1.0,32.0,0.5999058632850647,31,0.32928238320350645,298,C:\Users\COM\Documents\KK-AI\Models\new_learning9\run_20260828_140812_b303e122071b\seed_43_g05_1p0\composed.pt
