protocol_fingerprint,checkpoint_selection,selection_objective,model_a,model_b,g05_fraction,g05_count_per_sample,metric,seed,metric_role,value_a,value_b,delta_b_minus_a,improvement_b_over_a,selected_epoch_a,selected_epoch_b,selected_validation_loss_a,selected_validation_loss_b,run_fingerprint_a,run_fingerprint_b,global_sign_in_selection_objective,global_sign_metrics_note,improvement_definition
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_x,41,primary,0.44510157012939455,0.44510157012939455,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_y,41,primary,0.41491066360473633,0.41491066360473633,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_z,41,primary,0.2198360366821289,0.2198360366821289,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,mean_position_mae,41,primary,0.35994944763183595,0.35994944763183595,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,mean_position_3d_error,41,primary,0.7332394638061523,0.7332394638061523,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,charge_magnitude_mae,41,primary,0.15552479934692381,0.15552479934692381,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,relative_sign_accuracy,41,primary,0.9627999954223633,0.9627999954223633,0.0,0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,relative_configuration_accuracy,41,primary,0.915,0.915,0.0,0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,pairwise_relative_sign_accuracy,41,primary,0.9505999984741211,0.9505999984741211,0.0,0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_sign_accuracy,41,secondary,,,,,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_sign_bce,41,secondary,,,,,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,absolute_sign_accuracy,41,secondary,,,,,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,absolute_sign_set_accuracy,41,secondary,,,,,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,charge_mae,41,secondary,0.19086493301391602,0.19086493301391602,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_invariant_charge_mae,41,secondary,0.19086493301391602,0.19086493301391602,0.0,-0.0,37,37,0.5906645221710205,0.5906645221710205,f56e5ea3c50e73b994d46437056b262e27904035ea2e1c76c2459729f9c1064a,8ea078f3c54310bed7eab8fd12c9c6870c9e0b8481d3d4e7e9d6aee0ab7efa9d,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,position_mae_x,41,primary,0.44510157012939455,0.44955273056030276,0.0044511604309082076,-0.0044511604309082076,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,position_mae_y,41,primary,0.41491066360473633,0.41216368865966796,-0.00274697494506837,0.00274697494506837,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,position_mae_z,41,primary,0.2198360366821289,0.2227170238494873,0.0028809871673584064,-0.0028809871673584064,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,mean_position_mae,41,primary,0.35994944763183595,0.36147782516479493,0.00152837753295898,-0.00152837753295898,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,mean_position_3d_error,41,primary,0.7332394638061523,0.7362384490966797,0.002998985290527334,-0.002998985290527334,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,charge_magnitude_mae,41,primary,0.15552479934692381,0.15554253387451172,1.7734527587909277e-05,-1.7734527587909277e-05,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,relative_sign_accuracy,41,primary,0.9627999954223633,0.9575999984741211,-0.005199996948242136,-0.005199996948242136,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,relative_configuration_accuracy,41,primary,0.915,0.909,-0.006000000000000005,-0.006000000000000005,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,pairwise_relative_sign_accuracy,41,primary,0.9505999984741211,0.9484000015258789,-0.0021999969482422443,-0.0021999969482422443,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_sign_accuracy,41,secondary,0.85,0.851,0.0010000000000000009,0.0010000000000000009,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_sign_bce,41,secondary,0.3634685592651367,0.3639967727661133,0.0005282135009765931,-0.0005282135009765931,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,absolute_sign_accuracy,41,secondary,0.8695999984741211,0.8613999938964844,-0.0082000045776367,-0.0082000045776367,37,37,0.5906645221710205,0.5920841226577759,10a71341c43e86540f62585616f51216b27df464dae87373c754e7a41ff7aab5,3a047e27a893b61e027d1491b19302afb82116a9c618c4436dd44fb787c7a423,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better
