protocol_fingerprint,checkpoint_selection,selection_objective,model_a,model_b,g05_fraction,g05_count_per_sample,metric,metric_role,global_sign_in_selection_objective,global_sign_metrics_note,improvement_definition,paired_seed_count,paired_seeds,delta_mean,delta_std,improvement_mean,improvement_std
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,absolute_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,absolute_sign_set_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,charge_magnitude_mae,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_invariant_charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,global_sign_bce,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,0,,,,,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,mean_position_3d_error,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,mean_position_mae,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,pairwise_relative_sign_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_x,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_y,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,position_mae_z,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,relative_configuration_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.0,0,relative_sign_accuracy,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0,,0.0,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,absolute_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,-0.009000007629394458,,-0.009000007629394458,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,absolute_sign_set_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,-0.010000000000000009,,-0.010000000000000009,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.009274780273437533,,-0.009274780273437533,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,charge_magnitude_mae,primary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,-0.0016994380950927646,,0.0016994380950927646,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_invariant_charge_mae,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,0.0009696788787841859,,-0.0009696788787841859,
8567ef203a5ee597693e62a0d260fe98a784dc1fcc7e208a2e46a44a434c391d,structure,validation_loss.structure,g05_sign_only,g05_full_reconstruction,0.1,3,global_sign_accuracy,secondary,False,Global-sign and absolute-sign metrics are secondary diagnostics: structure selection does not optimize global-sign performance; training still uses the unchanged total loss.,positive means g05_full_reconstruction is better,1,42,-0.0030000000000000027,,-0.0030000000000000027,
