run_id,patience,stop_epoch,both_best_checkpoints_preserved,epochs_saved
g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543,10,47,True,253
g05_full_reconstruction__g05_010pct__seed_41__3a047e27a893,10,47,True,253
g05_full_reconstruction__g05_025pct__seed_41__6b8f65cff0c4,10,47,True,253
g05_full_reconstruction__g05_050pct__seed_41__2e76912911c3,10,45,True,255
g05_full_reconstruction__g05_075pct__seed_41__1880b8d860fe,10,44,True,256
g05_full_reconstruction__g05_100pct__seed_41__acf3506459d6,10,45,True,255
g05_sign_only__g05_000pct__seed_41__f56e5ea3c50e,10,47,True,253
g05_sign_only__g05_010pct__seed_41__10a71341c43e,10,47,True,253
g05_sign_only__g05_025pct__seed_41__662874c8682f,10,47,True,253
g05_sign_only__g05_050pct__seed_41__c565131aab8b,10,47,True,253
g05_sign_only__g05_075pct__seed_41__d55cbe85d9a9,10,47,True,253
g05_sign_only__g05_100pct__seed_41__47b3174b2f65,10,47,True,253
g05_full_reconstruction__g05_000pct__seed_42__7d8ae61c4605,10,37,True,263
g05_full_reconstruction__g05_010pct__seed_42__7d4653f145ab,10,38,True,262
g05_full_reconstruction__g05_025pct__seed_42__1ba41dbd95be,10,58,True,242
g05_full_reconstruction__g05_050pct__seed_42__8c9fbcc55de0,10,52,True,248
g05_full_reconstruction__g05_075pct__seed_42__ea2fff605788,10,45,True,255
g05_full_reconstruction__g05_100pct__seed_42__e2a69d923385,10,50,True,250
g05_sign_only__g05_000pct__seed_42__7381148c39db,10,37,True,263
g05_sign_only__g05_010pct__seed_42__c436f6048f89,10,37,True,263
g05_sign_only__g05_025pct__seed_42__6b6220edd43e,10,49,True,251
g05_sign_only__g05_050pct__seed_42__3e78c74bbf35,10,49,True,251
g05_sign_only__g05_075pct__seed_42__4f060fadcb77,10,49,True,251
g05_sign_only__g05_100pct__seed_42__adefc6a18cb3,10,49,True,251
g05_full_reconstruction__g05_000pct__seed_43__5677a97adc2f,10,41,True,259
g05_full_reconstruction__g05_010pct__seed_43__b4e053f4082b,10,39,True,261
g05_full_reconstruction__g05_025pct__seed_43__fe84a1df815e,10,43,True,257
g05_full_reconstruction__g05_050pct__seed_43__fa2e48ef7502,10,51,True,249
g05_full_reconstruction__g05_075pct__seed_43__d87f793ac782,10,46,True,254
g05_full_reconstruction__g05_100pct__seed_43__dbf9e42ecafa,10,36,True,264
g05_sign_only__g05_000pct__seed_43__e70a7bddfd5e,10,41,True,259
g05_sign_only__g05_010pct__seed_43__569719e6de6c,10,41,True,259
g05_sign_only__g05_025pct__seed_43__559b9cd8371e,10,41,True,259
g05_sign_only__g05_050pct__seed_43__9763f0d66175,10,41,True,259
g05_sign_only__g05_075pct__seed_43__b85b94b83477,10,41,True,259
g05_sign_only__g05_100pct__seed_43__7eca43faabbb,10,41,True,259
g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543,15,52,True,248
