model,group,quartile,lower,upper,count,mean_position_3d_error,charge_mae,global_sign_accuracy,relative_configuration_accuracy,field_relative_l2
sign_only_best,minimum_charge_separation,1,0.08860757946968079,0.4958912283182144,250,0.7637867331504822,0.28142693638801575,0.8679999709129333,0.9120000004768372,0.45985983212502995
sign_only_best,minimum_charge_separation,2,0.4958912283182144,0.6720610558986664,250,0.7404781579971313,0.2807379364967346,0.871999979019165,0.9079999923706055,0.5050907866386937
sign_only_best,minimum_charge_separation,3,0.6720610558986664,0.8672952950000763,250,0.7593802213668823,0.2943933606147766,0.8560000061988831,0.8999999761581421,0.48002152442444196
sign_only_best,minimum_charge_separation,4,0.8672952950000763,1.6586897373199463,250,0.8010048866271973,0.27811703085899353,0.8880000114440918,0.9160000085830688,0.5078580084577101
sign_only_best,true_potential_rms,1,0.009790354297719654,0.043065874711534426,250,0.8196830153465271,0.28759506344795227,0.8799999952316284,0.984000027179718,0.6162846471337512
sign_only_best,true_potential_rms,2,0.043065874711534426,0.0611702665474895,250,0.80357426404953,0.3153756856918335,0.8360000252723694,0.8999999761581421,0.5645143877793678
sign_only_best,true_potential_rms,3,0.0611702665474895,0.09258888430433676,250,0.7512273192405701,0.29112714529037476,0.8640000224113464,0.843999981880188,0.4689540265539912
sign_only_best,true_potential_rms,4,0.09258888430433676,0.18196360787880503,250,0.6901653409004211,0.24057744443416595,0.9039999842643738,0.9079999923706055,0.3030770901787654
sign_only_best,mean_charge_height,1,0.26895272731781006,0.681845024228096,250,0.7812355756759644,0.2796030044555664,0.8799999952316284,0.9240000247955322,0.5826243705351641
sign_only_best,mean_charge_height,2,0.681845024228096,0.7951997518539429,250,0.7621856331825256,0.288936585187912,0.8600000143051147,0.8840000033378601,0.5020998995989195
sign_only_best,mean_charge_height,3,0.7951997518539429,0.9268323630094528,250,0.7397037148475647,0.2761489152908325,0.8759999871253967,0.9120000004768372,0.4677622033943313
sign_only_best,mean_charge_height,4,0.9268323630094528,1.347723364830017,250,0.7815250158309937,0.28998684883117676,0.8679999709129333,0.9160000085830688,0.4003436781174604
full_best,minimum_charge_separation,1,0.08860757946968079,0.4958912283182144,250,0.7553386688232422,0.27660468220710754,0.8640000224113464,0.9079999923706055,0.45479886699552663
full_best,minimum_charge_separation,2,0.4958912283182144,0.6720610558986664,250,0.7356444001197815,0.27865055203437805,0.8679999709129333,0.9120000004768372,0.4806153862124038
full_best,minimum_charge_separation,3,0.6720610558986664,0.8672952950000763,250,0.751445472240448,0.2859589457511902,0.8679999709129333,0.9079999923706055,0.4843990045571536
full_best,minimum_charge_separation,4,0.8672952950000763,1.6586897373199463,250,0.7968699336051941,0.2735916078090668,0.8840000033378601,0.9440000057220459,0.4692106649013938
full_best,true_potential_rms,1,0.009790354297719654,0.043065874711534426,250,0.8213775157928467,0.27589502930641174,0.8840000033378601,0.9919999837875366,0.6289068630386456
full_best,true_potential_rms,2,0.043065874711534426,0.0611702665474895,250,0.7973676919937134,0.3072727620601654,0.8320000171661377,0.8920000195503235,0.5005945023313892
full_best,true_potential_rms,3,0.0611702665474895,0.09258888430433676,250,0.7384844422340393,0.27551984786987305,0.8640000224113464,0.8679999709129333,0.42195522633312293
full_best,true_potential_rms,4,0.09258888430433676,0.18196360787880503,250,0.6820688247680664,0.25611817836761475,0.9039999842643738,0.9200000166893005,0.33756733096332
full_best,mean_charge_height,1,0.26895272731781006,0.681845024228096,250,0.7766560316085815,0.2829391360282898,0.8759999871253967,0.9319999814033508,0.5613531256311691
full_best,mean_charge_height,2,0.681845024228096,0.7951997518539429,250,0.7519739866256714,0.28551337122917175,0.8640000224113464,0.9039999842643738,0.5038757099191123
full_best,mean_charge_height,3,0.7951997518539429,0.9268323630094528,250,0.7379484176635742,0.2708596885204315,0.871999979019165,0.9160000085830688,0.4432951988275951
full_best,mean_charge_height,4,0.9268323630094528,1.347723364830017,250,0.7727200388908386,0.27549365162849426,0.871999979019165,0.9200000166893005,0.3804998882886012
full_latest,minimum_charge_separation,1,0.08860757946968079,0.4958912283182144,250,0.8776064515113831,0.3307901918888092,0.8679999709129333,0.9039999842643738,0.6299103102900949
full_latest,minimum_charge_separation,2,0.4958912283182144,0.6720610558986664,250,0.8740194439888,0.34926000237464905,0.8600000143051147,0.8880000114440918,0.7174228179830929
full_latest,minimum_charge_separation,3,0.6720610558986664,0.8672952950000763,250,0.880265474319458,0.3193167746067047,0.8679999709129333,0.8920000195503235,0.6382411760336711
full_latest,minimum_charge_separation,4,0.8672952950000763,1.6586897373199463,250,0.9165690541267395,0.3334648609161377,0.8880000114440918,0.9039999842643738,0.7080996042706752
full_latest,true_potential_rms,1,0.009790354297719654,0.043065874711534426,250,0.8958016633987427,0.3045421540737152,0.8759999871253967,0.9879999756813049,0.800901041067181
full_latest,true_potential_rms,2,0.043065874711534426,0.0611702665474895,250,0.91431725025177,0.34914252161979675,0.8360000252723694,0.9120000004768372,0.6933412419580943
full_latest,true_potential_rms,3,0.0611702665474895,0.09258888430433676,250,0.9108720421791077,0.35375967621803284,0.871999979019165,0.8360000252723694,0.7094739457643314
full_latest,true_potential_rms,4,0.09258888430433676,0.18196360787880503,250,0.8274695873260498,0.32538750767707825,0.8999999761581421,0.8519999980926514,0.48995767978792754
full_latest,mean_charge_height,1,0.26895272731781006,0.681845024228096,250,0.9526462554931641,0.3368644118309021,0.8759999871253967,0.9160000085830688,0.766214203517174
full_latest,mean_charge_height,2,0.681845024228096,0.7951997518539429,250,0.8810275793075562,0.34209930896759033,0.8679999709129333,0.871999979019165,0.7186778681310128
full_latest,mean_charge_height,3,0.7951997518539429,0.9268323630094528,250,0.8713485598564148,0.3385258913040161,0.8560000061988831,0.8999999761581421,0.6671372261702793
full_latest,mean_charge_height,4,0.9268323630094528,1.347723364830017,250,0.8434381484985352,0.3153422176837921,0.8840000033378601,0.8999999761581421,0.5416446107590683
