fraction,metric,improvement_mean,ci95_low,ci95_high,sample_count,bootstrap_draws,interpretation
0.0,mean_position_mae,0.0,0.0,0.0,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.0,mean_position_3d_error,0.0,0.0,0.0,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.0,charge_magnitude_mae,0.0,0.0,0.0,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.0,relative_configuration_accuracy,0.0,0.0,0.0,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.1,mean_position_mae,0.00023894145339727402,-0.003331538877263665,0.0038066612543538195,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.1,mean_position_3d_error,0.001307913914322853,-0.006106205313280225,0.0087909399356693,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.1,charge_magnitude_mae,0.0010231935624033213,-0.0005861717286985368,0.002604875492909923,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.1,relative_configuration_accuracy,0.008,-0.004,0.02,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.1,global_sign_accuracy,-0.005,-0.015,0.005,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.1,absolute_sign_set_accuracy,0.003,-0.01,0.016,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.1,charge_mae,-0.0023430143482983112,-0.014146915372740477,0.009539690225012597,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.25,mean_position_mae,0.0013646775037050246,-0.002257309103384614,0.004980847451463342,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.25,mean_position_3d_error,0.0032919279038906095,-0.004016090246289968,0.01067065401524305,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.25,charge_magnitude_mae,0.0028653579596430064,0.001235965904407203,0.004511476220516488,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.25,relative_configuration_accuracy,0.0,-0.014,0.014,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.25,global_sign_accuracy,0.006,-0.003,0.015,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.25,absolute_sign_set_accuracy,0.005,-0.009,0.019,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.25,charge_mae,0.008369780177250504,-0.0030415107318200172,0.02022885709526017,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.5,mean_position_mae,0.0012033791691064835,-0.002582635213807225,0.005021899931132792,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.5,mean_position_3d_error,0.004924363136291504,-0.0028151065580546853,0.012739882249385116,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.5,charge_magnitude_mae,0.002080888582393527,0.0006245290013495833,0.0035327077451162035,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.5,relative_configuration_accuracy,-0.001,-0.013,0.011,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.5,global_sign_accuracy,0.009,0.0,0.018,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.5,absolute_sign_set_accuracy,0.008,-0.003,0.02,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.5,charge_mae,0.010803831974044442,0.0006170236255507919,0.02124596386076882,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.75,mean_position_mae,-0.0010381300449371338,-0.0046898476161062715,0.002661402409896252,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.75,mean_position_3d_error,0.0011315007507801055,-0.006425261306017637,0.00866847070455551,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.75,charge_magnitude_mae,0.0026005774307996036,0.0011420496526639908,0.004028442590637132,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.75,relative_configuration_accuracy,0.001,-0.011,0.013,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.75,global_sign_accuracy,-0.004,-0.012,0.004,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.75,absolute_sign_set_accuracy,-0.002,-0.013,0.009,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
0.75,charge_mae,-0.0041599522735923525,-0.014484821329452098,0.005726657100580632,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
1.0,mean_position_mae,0.002996231362223625,-0.00052612320818007,0.006621069169417023,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
1.0,mean_position_3d_error,0.006337863355875015,-0.0009136734306812286,0.013700836029648772,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
1.0,charge_magnitude_mae,0.003431613015010953,0.001931702018342912,0.004898975057480857,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
1.0,relative_configuration_accuracy,0.009,-0.003,0.022,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
1.0,global_sign_accuracy,0.0,-0.007,0.007,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
1.0,absolute_sign_set_accuracy,0.009,-0.003,0.021,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
1.0,charge_mae,0.004967382540926337,-0.005603029372310267,0.015674435400962822,1000,10000,Conditional on these two fitted models and this test distribution; not seed uncertainty.
