test_example_index,mean_position_mae,mean_position_3d_error,position_mae_x,position_mae_y,position_mae_z,charge_magnitude_mae,charge_mae,global_invariant_charge_mae,relative_sign_accuracy,relative_configuration_accuracy,global_sign_accuracy,absolute_sign_accuracy,absolute_sign_set_accuracy,geometric_relative_sign_accuracy,geometric_relative_configuration_accuracy,geometric_mean_position_3d_error,relative_negative_count_accuracy,global_probability,global_target,global_confidence,relative_confidence,global_oracle_charge_mae,field_relative_l2,magnitude_field_relative_l2,g00_relative_l2
1629,0.3060672879219055,0.6823245286941528,0.17784330248832703,0.5960672497749329,0.14429138600826263,0.09797985851764679,0.09797985851764679,0.09797985851764679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6823245286941528,1.0,0.17653888463974,0.0,0.82346111536026,0.9997703433036804,0.09797985851764679,0.32450108254670257,0.30384920223022616,0.5204468725479999
6384,0.3449974060058594,0.7200763821601868,0.2544954717159271,0.5822338461875916,0.19826287031173706,0.17865309119224548,0.17865309119224548,0.17865309119224548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7200763821601868,1.0,0.00980894174426794,0.0,0.9901910424232483,0.998322069644928,0.17865309119224548,0.3292519686202442,0.2850452406444474,0.5627599508906255
9436,0.31385061144828796,0.6501266956329346,0.23477855324745178,0.5544342398643494,0.15233898162841797,0.22374168038368225,0.22374168038368225,0.22374168038368225,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.5086585283279419,1.0,0.9679453372955322,1.0,0.9679453372955322,0.998761773109436,0.22374168038368225,0.3014983875830384,0.2986261855547129,0.45080879225097165
5028,0.2251432090997696,0.440390408039093,0.18004652857780457,0.2901202142238617,0.20526288449764252,0.12374088913202286,0.12374088913202286,0.12374088913202286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.440390408039093,1.0,0.02560914307832718,0.0,0.9743908643722534,0.9912962913513184,0.12374088913202286,0.06936292854137643,0.06936292854137643,0.135457079652741
4722,0.23325090110301971,0.5068174004554749,0.1819097399711609,0.4161616861820221,0.10168125480413437,0.18636615574359894,0.18636615574359894,0.18636615574359894,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.4429245889186859,1.0,0.8205161690711975,1.0,0.8205161690711975,0.6567762494087219,0.18636615574359894,0.19645638230945806,0.19645638230945806,0.3589627912629536
7930,0.5236276388168335,1.0208691358566284,0.7468594908714294,0.5134519338607788,0.31057146191596985,0.27539053559303284,0.27539053559303284,0.27539053559303284,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,1.0605885982513428,1.0,0.01773270219564438,0.0,0.9822673201560974,0.9147458076477051,0.27539053559303284,0.08811016351413793,0.08811016351413793,0.2002058400881431
2785,0.1905730664730072,0.3790273070335388,0.13744041323661804,0.18439607322216034,0.2498827427625656,0.08878429234027863,0.08878429234027863,0.08878429234027863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3790273070335388,1.0,0.019273139536380768,0.0,0.9807268381118774,0.9884631037712097,0.08878429234027863,0.21423418922080437,0.21423418922080437,0.5421154244916268
5523,0.4020764231681824,0.8456657528877258,0.46525508165359497,0.5833083391189575,0.15766587853431702,0.18867269158363342,0.18867269158363342,0.18867269158363342,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7299389839172363,1.0,0.5733902454376221,1.0,0.5733902454376221,0.9998719692230225,0.18867269158363342,0.8166582109728708,0.7586768706618591,0.9083445048318632
1488,0.29913899302482605,0.6520399451255798,0.3759027123451233,0.276963472366333,0.24455080926418304,0.1433059424161911,0.1433059424161911,0.1433059424161911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6520399451255798,1.0,0.012524917721748352,0.0,0.9874750971794128,0.9945566654205322,0.1433059424161911,0.4264513565525692,0.4264513565525692,1.8394217931307295
8763,0.3227650821208954,0.6056351065635681,0.32559511065483093,0.31583115458488464,0.3268689811229706,0.13906989991664886,0.13906989991664886,0.13906989991664886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6056351065635681,1.0,0.9502447843551636,1.0,0.9502447843551636,0.999850869178772,0.13906989991664886,0.5917132051966558,0.5660071291780719,0.8516859678198297
3325,0.44621291756629944,0.8737297058105469,0.59349125623703,0.5641866326332092,0.18096081912517548,0.23287764191627502,0.23287764191627502,0.23287764191627502,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.7837865352630615,1.0,0.9451310634613037,1.0,0.9451310634613037,0.9990566372871399,0.23287764191627502,0.3122887434045706,0.29322170279506377,0.46409228922444323
7163,0.36123374104499817,0.6882726550102234,0.45458459854125977,0.32259413599967957,0.3065224289894104,0.14649100601673126,0.14649100601673126,0.14649100601673126,1.0,1.0,1.0,1.0,1.0,0.6000000238418579,0.0,0.6258989572525024,1.0,0.04639517515897751,0.0,0.9536048173904419,0.9679428339004517,0.14649100601673126,0.1679553128803747,0.1679553128803747,0.4064029214270805
3908,0.333577424287796,0.7144232988357544,0.6063423156738281,0.23950600624084473,0.15488390624523163,0.20159004628658295,0.20159004628658295,0.20159004628658295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7144232988357544,1.0,0.037100668996572495,0.0,0.9628993272781372,0.9995779395103455,0.20159004628658295,0.44599184007127635,0.3403124732144599,0.319058289634478
7636,0.5295615792274475,1.0753124952316284,0.5021446347236633,0.7022745013237,0.3842655122280121,0.23322844505310059,0.8108661770820618,0.7703299522399902,0.6000000238418579,0.0,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.7857207655906677,0.0,0.0192305576056242,1.0,0.9807694554328918,0.9899319410324097,0.7703299522399902,0.23316192080748657,0.23316192080748657,0.47775629019335475
2960,0.421830952167511,0.760949432849884,0.43627139925956726,0.4410323202610016,0.3881891667842865,0.167470321059227,1.3842717409133911,0.167470321059227,1.0,1.0,0.0,0.0,0.0,0.6000000238418579,0.0,0.7205900549888611,1.0,0.7408056259155273,0.0,0.7408056259155273,0.8113223314285278,0.167470321059227,1.8060955832410466,0.2818785624769176,0.622304841449898
8828,0.5568076372146606,1.1759226322174072,0.4477192461490631,0.9507952928543091,0.27190837264060974,0.1791187971830368,0.1791187971830368,0.1791187971830368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1759226322174072,1.0,0.10773716866970062,0.0,0.8922628164291382,0.9307055473327637,0.1791187971830368,0.39782308403197303,0.3698850007505445,0.7348567992304721
8812,0.3367157280445099,0.6735154986381531,0.4600946605205536,0.4331265985965729,0.11692585051059723,0.1784990131855011,0.1784990131855011,0.1784990131855011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6735154986381531,1.0,0.5942369103431702,1.0,0.5942369103431702,0.34910520911216736,0.1784990131855011,0.17805948624083653,0.17805948624083653,0.3481263878085011
1523,0.3790326714515686,0.7861273884773254,0.43999767303466797,0.4642420709133148,0.23285816609859467,0.12107092142105103,0.12107092142105103,0.12107092142105103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7861273884773254,1.0,0.8859597444534302,1.0,0.8859597444534302,0.9987406134605408,0.12107092142105103,0.37768296858253647,0.3378549696264072,0.7727001761914749
