seed,protocol_fingerprint,model,fraction,sensor_count,selection,epoch,validation_loss,absolute_sign_accuracy,absolute_sign_set_accuracy,charge_mae,charge_magnitude_mae,global_invariant_charge_mae,global_sign_accuracy,global_sign_bce,mean_position_3d_error,mean_position_mae,observations_per_sample,observed_sample_fraction,pairwise_relative_sign_accuracy,position_mae_x,position_mae_y,position_mae_z,relative_configuration_accuracy,relative_sign_accuracy,source
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.0,0,structure,37,0.5906645221710205,,,0.19086493301391602,0.15552479934692381,0.19086493301391602,,,0.7332394638061523,0.35994944763183595,0.0,0.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.0,0,total,37,0.5906645221710205,,,0.19086493301391602,0.15552479934692381,0.19086493301391602,,,0.7332394638061523,0.35994944763183595,0.0,0.0,0.9505999984741211,0.44510157012939455,0.41491066360473633,0.2198360366821289,0.915,0.9627999954223633,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_000pct__seed_41__8ea078f3c543\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.1,3,structure,37,0.5920841226577759,0.8613999938964844,0.818,0.3086505813598633,0.15554253387451172,0.19257705116271973,0.851,0.3639967727661133,0.7362384490966797,0.36147782516479493,3.0,1.0,0.9484000015258789,0.44955273056030276,0.41216368865966796,0.2227170238494873,0.909,0.9575999984741211,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_010pct__seed_41__3a047e27a893\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.1,3,total,37,0.9663254158496857,0.8613999938964844,0.818,0.3086505813598633,0.15554253387451172,0.19257705116271973,0.851,0.3639967727661133,0.7362384490966797,0.36147782516479493,3.0,1.0,0.9484000015258789,0.44955273056030276,0.41216368865966796,0.2227170238494873,0.909,0.9575999984741211,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_010pct__seed_41__3a047e27a893\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.25,8,structure,28,0.6034815797805786,0.8722000045776367,0.829,0.29765269088745117,0.15650859451293944,0.1938388271331787,0.855,0.3605832214355469,0.7453684921264648,0.36396265792846677,8.0,1.0,0.9473999938964843,0.46493579864501955,0.4046020622253418,0.22235004806518555,0.908,0.9579999923706055,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_025pct__seed_41__6b8f65cff0c4\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.25,8,total,37,0.9519158227443695,0.8768000030517578,0.83,0.2911668128967285,0.15597239303588867,0.1968714771270752,0.862,0.34903057098388673,0.7452245559692383,0.3648950042724609,8.0,1.0,0.9433999938964843,0.46171228408813475,0.41240371322631836,0.22056898880004883,0.902,0.9564000091552735,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_025pct__seed_41__6b8f65cff0c4\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.5,16,structure,25,0.6160225253105164,0.88,0.84,0.28798665046691896,0.1560696201324463,0.19319739151000975,0.86,0.35395320892333987,0.775558120727539,0.38005825424194334,16.0,1.0,0.9475999984741211,0.4767391967773438,0.43863385009765626,0.224801664352417,0.908,0.9575999908447266,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_050pct__seed_41__2e76912911c3\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.5,16,total,35,0.9726913423538208,0.8764000015258789,0.833,0.2942591857910156,0.1563466968536377,0.19571336555480956,0.862,0.34523715209960937,0.7626555862426758,0.3726344871520996,16.0,1.0,0.9463999938964843,0.4741160659790039,0.42466164398193357,0.2191256980895996,0.908,0.96,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_050pct__seed_41__2e76912911c3\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.75,24,structure,34,0.602596776008606,0.8758000030517578,0.831,0.29477050399780275,0.15620050430297852,0.19695333671569823,0.867,0.34574879455566404,0.74100244140625,0.3634201507568359,24.0,1.0,0.9448000106811524,0.46193317794799804,0.4041538581848145,0.22417337799072265,0.904,0.9567999877929687,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_075pct__seed_41__1880b8d860fe\result.json
41,1692babe9d2153d97a0706d0bece7194c22c1fc53b7f215c8f2260f0b820046c,g05_full_reconstruction,0.75,24,total,34,0.9480395393371581,0.8758000030517578,0.831,0.29477050399780275,0.15620050430297852,0.19695333671569823,0.867,0.34574879455566404,0.74100244140625,0.3634201507568359,24.0,1.0,0.9448000106811524,0.46193317794799804,0.4041538581848145,0.22417337799072265,0.904,0.9567999877929687,Results\new_learning9_experiments\5point_routing_v1_seed41\runs\g05_full_reconstruction__g05_075pct__seed_41__1880b8d860fe\result.json
