g05_fraction,seed,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,charge1_position_error,charge2_position_error,mean_position_error,charge_magnitude_mae,relative_sign_accuracy,absolute_sign_accuracy,best_epoch,best_validation_loss,observed_train_fraction,observed_validation_fraction,observed_test_fraction,checkpoint_path
0.0,41,0.12628838,0.20341752,0.12623814,0.12491952,0.1816101,0.12204628,0.31143876910209656,0.2900538444519043,0.3007463067770004,0.10609132051467896,0.998,,47,0.14628232741355895,0.0,0.0,0.0,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_000pct_seed_41_best.pt
0.0,42,0.14914693,0.2361672,0.13939613,0.13606559,0.21298823,0.13883963,0.35872209072113037,0.3321460783481598,0.3454340845346451,0.1105496883392334,0.997,,32,0.17745200395584107,0.0,0.0,0.0,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_000pct_seed_42_best.pt
0.0,43,0.11907467,0.19422878,0.121490866,0.13127977,0.18553625,0.120649554,0.2972567081451416,0.29715389013290405,0.2972052991390228,0.10169097781181335,0.999,,50,0.14865977215766907,0.0,0.0,0.0,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_000pct_seed_43_best.pt
0.1,41,0.19280413,0.28842846,0.18768606,0.17300153,0.2842581,0.17622052,0.45013129711151123,0.4294344484806061,0.43978287279605865,0.560014545917511,0.765,0.5285,15,1.1639181776046752,0.09837500005960464,0.10000000149011612,0.09399999678134918,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_010pct_seed_41_best.pt
0.1,42,0.17100096,0.25029346,0.16528009,0.16275133,0.27366042,0.16887382,0.3966894745826721,0.4120631217956543,0.4043762981891632,0.5504758954048157,0.766,0.54,18,1.1650269479751587,0.09837500005960464,0.10000000149011612,0.09399999678134918,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_010pct_seed_42_best.pt
0.1,43,0.17596233,0.25204396,0.16731489,0.15508182,0.25343052,0.16715553,0.4004932940006256,0.3896547555923462,0.3950740247964859,0.5330232977867126,0.763,0.5545,19,1.1524712038040161,0.09837500005960464,0.10000000149011612,0.09399999678134918,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_010pct_seed_43_best.pt
0.25,41,0.19111137,0.30828065,0.17820147,0.19381516,0.265551,0.17723112,0.45819008350372314,0.4296674132347107,0.4439287483692169,0.5081753134727478,0.822,0.589,17,1.1132531309127807,0.25187501311302185,0.24799999594688416,0.24300000071525574,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_025pct_seed_41_best.pt
0.25,42,0.1927692,0.28185531,0.18148021,0.19130966,0.2795592,0.17246217,0.4439288377761841,0.4348667562007904,0.43939779698848724,0.5022838115692139,0.816,0.586,14,1.1147351417541504,0.25187501311302185,0.24799999594688416,0.24300000071525574,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_025pct_seed_42_best.pt
0.25,43,0.18169032,0.25266558,0.17283839,0.16538015,0.26699126,0.170866,0.4068874418735504,0.4083564877510071,0.40762196481227875,0.4909033179283142,0.847,0.5975,19,1.0792837586402892,0.25187501311302185,0.24799999594688416,0.24300000071525574,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_025pct_seed_43_best.pt
0.5,41,0.17777854,0.26390105,0.16149253,0.16313377,0.2712311,0.15334278,0.40720486640930176,0.401239275932312,0.4042220711708069,0.3985276520252228,0.888,0.659,21,0.9355734295845032,0.49937498569488525,0.49300000071525574,0.503000020980835,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_050pct_seed_41_best.pt
0.5,42,0.16941126,0.26572537,0.16488396,0.16814888,0.2564275,0.16889767,0.40786999464035034,0.40308451652526855,0.40547725558280945,0.404533326625824,0.89,0.658,18,0.9260548787117004,0.49937498569488525,0.49300000071525574,0.503000020980835,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_050pct_seed_42_best.pt
0.5,43,0.16931549,0.2449272,0.15816733,0.15593244,0.2461503,0.1541245,0.38921043276786804,0.3763748109340668,0.3827926218509674,0.3983539342880249,0.912,0.677,24,0.9282083802223206,0.49937498569488525,0.49300000071525574,0.503000020980835,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_050pct_seed_43_best.pt
0.75,41,0.19801418,0.27797168,0.16908243,0.169307,0.26900017,0.1639917,0.4360460937023163,0.4103415310382843,0.4231938123703003,0.3359982967376709,0.902,0.752,19,0.7438492760658264,0.749625027179718,0.7620000243186951,0.7379999756813049,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_075pct_seed_41_best.pt
0.75,42,0.16498727,0.2546027,0.17205799,0.16246897,0.25027677,0.165224,0.4024168848991394,0.39130738377571106,0.39686213433742523,0.32262176275253296,0.932,0.757,22,0.7288163981437683,0.749625027179718,0.7620000243186951,0.7379999756813049,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_075pct_seed_42_best.pt
0.75,43,0.16941574,0.25304192,0.16139145,0.16150573,0.24087557,0.15868382,0.39678746461868286,0.38000866770744324,0.38839806616306305,0.30510950088500977,0.928,0.741,26,0.7270155663490295,0.749625027179718,0.7620000243186951,0.7379999756813049,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_075pct_seed_43_best.pt
1.0,41,0.17750588,0.24179706,0.1600925,0.1562448,0.22759302,0.15137209,0.38925784826278687,0.36351415514945984,0.37638600170612335,0.23154732584953308,0.956,0.845,29,0.5048644251823425,1.0,1.0,1.0,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_100pct_seed_41_best.pt
1.0,42,0.13818641,0.21246585,0.14460236,0.14459431,0.21518885,0.13561468,0.338337779045105,0.3379732668399811,0.33815552294254303,0.20958514511585236,0.954,0.881,43,0.4364336032867432,1.0,1.0,1.0,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_100pct_seed_42_best.pt
1.0,43,0.15106018,0.21855852,0.14627048,0.14664878,0.2188542,0.15093976,0.34742188453674316,0.35091710090637207,0.3491694927215576,0.2186112105846405,0.967,0.8805,37,0.45284682607650756,1.0,1.0,1.0,C:\Users\COM\Documents\KK-AI\g05_fraction_checkpoints\g05_100pct_seed_43_best.pt
